# Build status — snapshot
#
# Generated by tools/build-all.sh on 2026-07-30 23:55 UTC.
# Regenerate with: tools/build-all.sh > BUILD_STATUS.txt
# This is a record, not a gate; the runner is the source of truth.
#
UNIT                       STACK    RESULT  NOTE
---------------------------------------------------------------------------
01-clipforge               next     ok      32s 
02-dunly                   next     ok      31s 
03-briefcast               next     ok      32s 
04-lenscrm                 next     ok      25s 
05-pulsewatch              next     ok      22s 
06-vaultback               next     ok      17s 
07-mergemate               node     ok      6s tsc
08-subsage                 expo     ok      5s tsc (native build needs EAS)
09-lumashot                next     ok      17s 
10-streakly                expo     ok      0s tsc (native build needs EAS)
11-driftoff                expo     ok      1s tsc (native build needs EAS)
12-papertrail              next     ok      16s 
13-inboxpilot              node     ok      1s tsc
14-rankradar               next     ok      16s 
15-launchlist              next     ok      16s 
16-parseflow               python   ok      4s compileall + mypy
17-trustbadge              next     ok      16s 
18-answerdesk              next     ok      15s 
19-nichehub                astro    ok      9s tsc + astro build
20-shotstash               tauri    ok      3s tsc + vite build (Rust shell not built here)
21-lingoloop               expo     ok      0s tsc (native build needs EAS)
22-callcatch               next     ok      16s 
23-cartboost               next     ok      16s 
24-tradelog                next     ok      15s 
25-resumerocket            next     ok      15s 
26-roomgenius              next     ok      17s 
27-stepdocs                next     ok      16s 
28-clientdock              next     ok      16s 
29-mailprobe               python   ok      0s compileall + mypy
30-cloudspend              next     ok      15s 
31-quotefox                next     ok      19s 
32-permitpath              next     ok      18s 
33-crewclock               next     ok      18s 
34-menulift                next     ok      16s 
35-ledgerlens              next     ok      16s 
36-bidboard                next     ok      15s 
37-safetydeck              next     ok      17s 
38-duesdesk                next     ok      16s 
39-greentally              next     ok      17s 
40-formcoach               expo     ok      1s tsc (native build needs EAS)
41-studyreel               expo     ok      1s tsc (native build needs EAS)
41-studyreel/web           next     ok      16s 
42-schemasentry            next     ok      16s 
43-paidwell                next     ok      19s 
44-tenantfile              next     ok      18s 
45-rosterrally             next     ok      19s 
46-clausecompass           next     ok      18s 
47-shelfsense              next     ok      16s 
48-formforge               next     ok      15s 
49-grantgrid               next     ok      16s 
50-waiverwing              next     ok      15s 
51-menocompass             expo     ok      5s tsc (native build needs EAS)
51-turnoverkit             next     ok      21s 
52-fleetsnap               next     ok      19s 
52-stimtrack               expo     ok      1s tsc (native build needs EAS)
53-priceprobe              next     ok      20s 
53-splitkit                expo     ok      1s tsc (native build needs EAS)
54-kindesk                 expo     ok      0s tsc (native build needs EAS)
54-rfpradar                next     ok      17s 
55-sessionscribe           next     ok      16s 
56-recalldesk              next     ok      18s 
57-matpass                 next     ok      17s 
58-chairflow               next     ok      17s 
59-dispatchdeck            next     ok      17s 
60-rigrent                 next     ok      18s 
61-coopclass               next     ok      17s 
62-certshield              next     ok      18s 
63-netnest                 expo     ok      1s tsc (native build needs EAS)
63-netnest/server          next     ok      16s 
64-trainerbase             next     ok      17s 
65-listingloop             next     ok      17s 
66-sproutlog               next     ok      16s 
67-wrenchview              next     ok      17s 
68-tiptally                next     ok      17s 
69-unitkeeper              next     ok      16s 
70-gigbag                  expo     ok      0s tsc (native build needs EAS)
70-gigbag/server           next     ok      17s 
---------------------------------------------------------------------------
pass 77   fail 0   skip 0
