Menu Item,Menu Group,Sales Category,Item Quantity,Gross Amount,Discount Amount,Net Amount
Crispy Half Chicken,Mains,Food,182,"$4,368.00",$0.00,"$4,368.00"
Cacio e Pepe,Mains,Food,164,"$3,444.00",$0.00,"$3,444.00"
Dry-Aged Burger,Mains,Food,141,"$2,679.00",$0.00,"$2,679.00"
Grilled Swordfish,Mains,Food,52,"$1,664.00",$0.00,"$1,664.00"
Mushroom Risotto,Mains,Food,44,$968.00,$0.00,$968.00
Pork Chop Milanese,Mains,Food,26,$884.00,$0.00,$884.00
Burrata,Starters,Food,148,"$2,368.00",$0.00,"$2,368.00"
Little Gem Salad,Starters,Food,131,"$1,703.00",$0.00,"$1,703.00"
Charred Broccolini,Starters,Food,96,"$1,152.00",$0.00,"$1,152.00"
Marinated Olives,Starters,Food,88,$616.00,$0.00,$616.00
Shrimp Toast,Starters,Food,37,$518.00,$0.00,$518.00
Olive Oil Cake,Desserts,Food,74,$814.00,$0.00,$814.00
Budino,Desserts,Food,61,$610.00,$0.00,$610.00
Affogato,Desserts,Food,48,$384.00,$0.00,$384.00
Cheese Plate,Desserts,Food,29,$464.00,$0.00,$464.00
Gift Card,Retail,Non-food,6,$600.00,$0.00,$600.00
Totals,,,1327,"$24,236.00",$0.00,"$24,236.00"
